Column1;category_id;site_code;site_link
0;1;globus;https://online.globus.ru/products/govyazhya-grudinka-na-kosti-1-upakovka-350-650-g/
1;1;globus;https://online.globus.ru/products/govyazhya-noga-na-kosti-1-upakovka-500-950-g/
2;1;globus;https://online.globus.ru/products/govyadina-tazobedrennaya-chast-1-upakovka-700-900-g/
3;1;globus;https://online.globus.ru/products/govyazhi-rebryshki-1-upakovka-600-800-g/
4;1;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-grudinka-na-kosti-p-f-okhlazhdennyi-sp-kg
5;1;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-kotletnaia-chast-na-kosti-p-f-okhlazhdennyi-
6;1;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-lopatka-na-kosti-p-f-okhlazhdennyi-sp-kg
7;1;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-tazobedrennaia-chast-na-kosti-p-f-
8;1;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-podbederok-na-kosti-p-f-okhlazhdennyi-sp-kg
9;1;vprok;https://www.vprok.ru/product/miratorg-mirat-steyk-iz-lop-tel-ohl-400g--441077?vprok_token=e3acb2dfeb019fb083d5df09654f654383cf45a0bb8050aba2d40c062031984cb3e48d11fda61f2f6f64ac9ab4e248ca8b0526dd91ac35e48bbcf8dcfc7af0ce-1602849668-5f898b849b4ad
10;1;vprok;https://www.vprok.ru/product/miratorg-mirat-rebr-dper-bl-iz-tel-1kg--440884?vprok_token=24c6641d60cf500d28ff10975034c46d05e578a7c8357fa089b522cad398124a18de22b6fd49ebee5dd7413c9a6b3e5e9c7be9019bae7663770515d56783cb59-1602849672-5f898b88cc909
11;1;vprok;https://www.vprok.ru/product/miratorg-mirat-telyatina-na-kost-dvar1kg--440886
12;1;utkonos;https://www.utkonos.ru/item/2008269/lopatka-teljachja-na-kosti-ekol-khaljal-okhlazhdennaja--0-4-0-8kg
13;1;utkonos;https://www.utkonos.ru/item/2011564/rebryshki-govjazhi-ekol-khaljal-okhlazhdennye--0-4-0-8kg
14;1;utkonos;https://www.utkonos.ru/item/2012365/vyrezka-iz-lopatki-mramornaja-govjadina-miratorg-okhlazhdennaja--1-0-1-4kg
15;1;utkonos;https://www.utkonos.ru/item/2008301/grudinka-govjazhja-ekol-khaljal-okhlazhdennaja--0-4-0-8kg
16;1;utkonos;https://www.utkonos.ru/item/2012321/vyrezka-iz-lopatki-mramornaja-govjadina-miratorg-okhlazhdennaja--0-7-1-0kg
17;1;utkonos;https://www.utkonos.ru/item/2008248/lopatka-teljachja-na-kosti-ekol-khaljal-okhlazhdennaja--0-8-1-1kg
18;1;utkonos;https://www.utkonos.ru/item/2012604/vyrezka-iz-lopatki-mramornaja-govjadina-miratorg-okhlazhdennaja--1-4-1-7kg
19;1;utkonos;https://www.utkonos.ru/item/2008196/grudinka-govjazhja-ekol-khaljal-okhlazhdennaja--0-8-1-1kg
20;1;utkonos;https://www.utkonos.ru/item/3366160/rebryshki-miratorg-govjazhi-dlja-barbekju-okhlazhdennye-0-5-1-3kg
21;1;utkonos;https://www.utkonos.ru/item/2008193/rebryshki-govjazhi-ekol-khaljal-okhlazhdennye--0-8-1-1kg
22;2;globus;https://online.globus.ru/products/svinoy-karbonad-na-kosti-kotleta-1-upakovka-400-700-g/
23;2;globus;https://online.globus.ru/products/svinoy-okorok-svyshe-5-kg-1-upakovka-5-6-kg/
24;2;globus;https://online.globus.ru/products/svinaya-grudinka-na-kosti-so-shkuroy-1-upakovka-1000-1400-g/
25;2;globus;https://online.globus.ru/products/svinaya-lopatka-na-kosti-so-shkuroy-1-upakovka-600-800-g/
26;2;globus;https://online.globus.ru/products/svinoy-okorok-1-upakovka-600-800-g/
27;2;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/svinina-koreika-na-kosti-p-f-okhlazhdennyi-sp-kg
28;2;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/svinina-lopatka-na-kosti-p-f-okhlazhdennyi-sp-kg
29;2;okey;https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/svinina-rul-ka-na-kosti-p-f-okhlazhdennyi-sp-kg
